Key,Order,Winner,Nationality,Sport,Discipline,Medal
2008_Sum,1,Michael Phelps,United States,Swimming,400m medley,Gold
2008_Sum,1,Michael Phelps,United States,Swimming,100m butterfly,Gold
2008_Sum,1,Michael Phelps,United States,Swimming,200m butterfly,Gold
2008_Sum,1,Michael Phelps,United States,Swimming,200m freestyle,Gold
2008_Sum,1,Michael Phelps,United States,Swimming,200m medley,Gold
2008_Sum,1,Michael Phelps,United States,Swimming,4 x 100m freestyle relay,Gold
2008_Sum,1,Michael Phelps,United States,Swimming,4 x 200m freestyle relay,Gold
2008_Sum,1,Michael Phelps,United States,Swimming,4 x 100m medley relay,Gold
2008_Sum,2,Stephanie Rice,Australia,Swimming,200m medley,Gold
2008_Sum,2,Stephanie Rice,Australia,Swimming,400m medley,Gold
2008_Sum,2,Stephanie Rice,Australia,Swimming,4 x 200m freestyle relay,Gold
2008_Sum,3,Usain Bolt,Jamaica,Athletics,100 metres,Gold
2008_Sum,3,Usain Bolt,Jamaica,Athletics,200 metres,Gold
2008_Sum,3,Usain Bolt,Jamaica,Athletics,4 x 100 m relay,Gold
2008_Sum,4,Chris Hoy,Great Britain,Cycling,Keirin,Gold
2008_Sum,4,Chris Hoy,Great Britain,Cycling,Sprint,Gold
2008_Sum,4,Chris Hoy,Great Britain,Cycling,Olympic sprint,Gold
2008_Sum,5,Zou Kai,China,Gymnastics,Horizontal bar,Gold
2008_Sum,5,Zou Kai,China,Gymnastics,Floor,Gold
2008_Sum,5,Zou Kai,China,Gymnastics,Team all-around,Gold
2008_Sum,6,Libby Trickett,Australia,Swimming,100m butterfly,Gold
2008_Sum,6,Libby Trickett,Australia,Swimming,4 x 100m medley relay,Gold
2008_Sum,6,Libby Trickett,Australia,Swimming,100m freestyle,Silver
2008_Sum,6,Libby Trickett,Australia,Swimming,4 x 100m freestyle relay,Broze
2008_Sum,7,Leisel Jones,Australia,Swimming,100m breaststroke,Gold
2008_Sum,7,Leisel Jones,Australia,Swimming,4 x 100m medley relay,Gold
2008_Sum,7,Leisel Jones,Australia,Swimming,200m breaststroke,Silver
2008_Sum,8,Matt Grevers,United States,Swimming,4 x 100m freestyle relay,Gold
2008_Sum,8,Matt Grevers,United States,Swimming,4 x 100m medley relay,Gold
2008_Sum,8,Matt Grevers,United States,Swimming,100m backstroke,Silver
2008_Sum,9,Aaron Peirsol,United States,Swimming,100m backstroke,Gold
2008_Sum,9,Aaron Peirsol,United States,Swimming,4 x 100m medley relay,Gold
2008_Sum,9,Aaron Peirsol,United States,Swimming,200m backstroke,Silver
2008_Sum,10,Wei Yang,China,Gymnastics,Individual all-around,Gold
2008_Sum,10,Wei Yang,China,Gymnastics,Team all-around,Gold
2008_Sum,10,Wei Yang,China,Gymnastics,Rings,Silver
2008_Sum,11,Ryan Lochte,United States,Swimming,4 x 200m freestyle relay,Gold
2008_Sum,11,Ryan Lochte,United States,Swimming,200m backstroke,Gold
2008_Sum,11,Ryan Lochte,United States,Swimming,200m medley,Broze
2008_Sum,11,Ryan Lochte,United States,Swimming,400m medley,Broze
2008_Sum,12,Kosuke Kitajima,Japan,Swimming,200m breaststroke,Gold
2008_Sum,12,Kosuke Kitajima,Japan,Swimming,100m breaststroke,Gold
2008_Sum,12,Kosuke Kitajima,Japan,Swimming,4 x 100m medley relay,Broze
2008_Sum,13,Jason Lezak,United States,Swimming,4 x 100m freestyle relay,Gold
2008_Sum,13,Jason Lezak,United States,Swimming,4 x 100m medley relay,Gold
2008_Sum,13,Jason Lezak,United States,Swimming,100m freestyle,Broze
2008_Sum,14,Jingjing Guo,China,Diving,3 metre springboard,Gold
2008_Sum,14,Jingjing Guo,China,Diving,Synchronized 3 metre springboard,Gold
2008_Sum,15,He Kexin,China,Gymnastics,Uneven bars,Gold
2008_Sum,15,He Kexin,China,Gymnastics,Team all-around,Gold
2008_Sum,16,Hinrich Romeike,Germany,Equestrian,Eventing individual,Gold
2008_Sum,16,Hinrich Romeike,Germany,Equestrian,Eventing team,Gold
2008_Sum,17,Angelo Taylor,United States,Athletics,400 metre hurdles,Gold
2008_Sum,17,Angelo Taylor,United States,Athletics,4 x 400 m relay,Gold
2008_Sum,18,Chen Ruolin,China,Diving,10 metre platform,Gold
2008_Sum,18,Chen Ruolin,China,Diving,Synchronized 10 metre platform,Gold
2008_Sum,19,Chen Yibing,China,Gymnastics,Rings,Gold
2008_Sum,19,Chen Yibing,China,Gymnastics,Team all-around,Gold
2008_Sum,20,Bradley Wiggins,Great Britain,Cycling,Individual pursuit,Gold
2008_Sum,20,Bradley Wiggins,Great Britain,Cycling,Team pursuit,Gold
2008_Sum,21,Britta Steffen,Germany,Swimming,100m freestyle,Gold
2008_Sum,21,Britta Steffen,Germany,Swimming,50m freestyle,Gold
2008_Sum,22,Kenenisa Bekele,Ethiopia,Athletics,10000 metres,Gold
2008_Sum,22,Kenenisa Bekele,Ethiopia,Athletics,5000 metres,Gold
2008_Sum,23,LaShawn Merritt,United States,Athletics,400 metres,Gold
2008_Sum,23,LaShawn Merritt,United States,Athletics,4 x 400 m relay,Gold
2008_Sum,24,Ma Lin,China,Table Tennis,Singles,Gold
2008_Sum,24,Ma Lin,China,Table Tennis,Teams,Gold
2008_Sum,25,Tirunesh Dibaba,Ethiopia,Athletics,10000 metres,Gold
2008_Sum,25,Tirunesh Dibaba,Ethiopia,Athletics,5000 metres,Gold
2008_Sum,26,Rebecca Adlington,Great Britain,Swimming,400m freestyle,Gold
2008_Sum,26,Rebecca Adlington,Great Britain,Swimming,800m freestyle,Gold
2008_Sum,27,Xiao Qin,China,Gymnastics,Pommel horse,Gold
2008_Sum,27,Xiao Qin,China,Gymnastics,Team all-around,Gold
2008_Sum,28,Xiaopeng Li,China,Gymnastics,Parallel bars,Gold
2008_Sum,28,Xiaopeng Li,China,Gymnastics,Team all-around,Gold
2008_Sum,29,Zhang Yining,China,Table Tennis,Singles,Gold
2008_Sum,29,Zhang Yining,China,Table Tennis,Teams,Gold
2008_Sum,30,Nastia Liukin,United States,Gymnastics,Individual all-around,Gold
2008_Sum,30,Nastia Liukin,United States,Gymnastics,Uneven bars,Silver
2008_Sum,30,Nastia Liukin,United States,Gymnastics,Balance beam,Silver
2008_Sum,30,Nastia Liukin,United States,Gymnastics,Team all-around,Silver
2008_Sum,30,Nastia Liukin,United States,Gymnastics,Floor,Broze
2008_Sum,31,Kirsty Coventry,Zimbabwe,Swimming,200m backstroke,Gold
2008_Sum,31,Kirsty Coventry,Zimbabwe,Swimming,100m backstroke,Silver
2008_Sum,31,Kirsty Coventry,Zimbabwe,Swimming,200m medley,Silver
2008_Sum,31,Kirsty Coventry,Zimbabwe,Swimming,400m medley,Silver
2008_Sum,32,Shawn Johnson,United States,Gymnastics,Balance beam,Gold
2008_Sum,32,Shawn Johnson,United States,Gymnastics,Individual all-around,Silver
2008_Sum,32,Shawn Johnson,United States,Gymnastics,Floor,Silver
2008_Sum,32,Shawn Johnson,United States,Gymnastics,Team all-around,Silver
2008_Sum,33,Natalie Coughlin,United States,Swimming,100m backstroke,Gold
2008_Sum,33,Natalie Coughlin,United States,Swimming,4 x 100m freestyle relay,Silver
2008_Sum,33,Natalie Coughlin,United States,Swimming,4 x 100m medley relay,Silver
2008_Sum,33,Natalie Coughlin,United States,Swimming,100m freestyle,Broze
2008_Sum,33,Natalie Coughlin,United States,Swimming,200m medley,Broze
2008_Sum,33,Natalie Coughlin,United States,Swimming,4 x 200m freestyle relay,Broze
2008_Sum,34,Rebecca Soni,United States,Swimming,200m breaststroke,Gold
2008_Sum,34,Rebecca Soni,United States,Swimming,100m breaststroke,Silver
2008_Sum,34,Rebecca Soni,United States,Swimming,4 x 100m medley relay,Silver
2008_Sum,35,Alain Bernard,France,Swimming,100m freestyle,Gold
2008_Sum,35,Alain Bernard,France,Swimming,4 x 100m freestyle relay,Silver
2008_Sum,35,Alain Bernard,France,Swimming,50m freestyle,Broze
2008_Sum,36,Anky van Grunsven,Netherlands,Equestrian,Dressage individual,Gold
2008_Sum,36,Anky van Grunsven,Netherlands,Equestrian,Dressage team,Silver
2008_Sum,37,Allyson Felix,United States,Athletics,4 x 400 m relay,Gold
2008_Sum,37,Allyson Felix,United States,Athletics,200 metres,Silver
2008_Sum,38,Jason Kenny,Great Britain,Cycling,Olympic sprint,Gold
2008_Sum,38,Jason Kenny,Great Britain,Cycling,Sprint,Silver
2008_Sum,39,Jin Jong-Oh,South Korea,Shooting,Free pistol,Gold
2008_Sum,39,Jin Jong-Oh,South Korea,Shooting,Air pistol,Silver
2008_Sum,40,Juan Llaneras,Spain,Cycling,Points race,Gold
2008_Sum,40,Juan Llaneras,Spain,Cycling,Madison,Silver
2008_Sum,41,Jeremy Wariner,United States,Athletics,4 x 400 m relay,Gold
2008_Sum,41,Jeremy Wariner,United States,Athletics,400 metres,Silver
2008_Sum,42,Isabelle Werth,Germany,Equestrian,Dressage team,Gold
2008_Sum,42,Isabelle Werth,Germany,Equestrian,Dressage individual,Silver
2008_Sum,43,Eric Lamaze,Canada,Equestrian,Jumping individual,Gold
2008_Sum,43,Eric Lamaze,Canada,Equestrian,Jumping team,Silver
2008_Sum,44,Fabrice Jeannet,France,Fencing,Épée team,Gold
2008_Sum,44,Fabrice Jeannet,France,Fencing,Épée,Silver
2008_Sum,45,Fabian Cancellara,Switzerland,Cycling,Time trial road,Gold
2008_Sum,45,Fabian Cancellara,Switzerland,Cycling,Road race,Silver
2008_Sum,46,Natasa Janics,Hungary,Canoeing,K-2 500 metres,Gold
2008_Sum,46,Natasa Janics,Hungary,Canoeing,K-4 500 metres,Silver
2008_Sum,47,Park Kyung-Mo,South Korea,Archery,Team,Gold
2008_Sum,47,Park Kyung-Mo,South Korea,Archery,Individual,Silver
2008_Sum,48,Park Sung-Hyun,South Korea,Archery,Team,Gold
2008_Sum,48,Park Sung-Hyun,South Korea,Archery,Individual,Silver
2008_Sum,49,Park Tae-Hwan,South Korea,Swimming,400m freestyle,Gold
2008_Sum,49,Park Tae-Hwan,South Korea,Swimming,200m freestyle,Silver
2008_Sum,50,Nan Wang,China,Table Tennis,Teams,Gold
2008_Sum,50,Nan Wang,China,Table Tennis,Singles,Silver
2008_Sum,51,Nicolas Lopez,France,Fencing,Sabre team,Gold
2008_Sum,51,Nicolas Lopez,France,Fencing,Sabre,Silver
2008_Sum,52,Katerina Emmons,Czech Repunlic,Shooting,Air rifle,Gold
2008_Sum,52,Katerina Emmons,Czech Repunlic,Shooting,"Small-bore rifle, 3 positions",Silver
2008_Sum,53,Zhang Juan Juan,China,Archery,Individual,Gold
2008_Sum,53,Zhang Juan Juan,China,Archery,Team,Silver
2008_Sum,54,Wang Hao,China,Table Tennis,Teams,Gold
2008_Sum,54,Wang Hao,China,Table Tennis,Singles,Silver
2008_Sum,55,Yang Yilin,China,Gymnastics,Team all-around,Gold
2008_Sum,55,Yang Yilin,China,Gymnastics,Uneven bars,Broze
2008_Sum,55,Yang Yilin,China,Gymnastics,Individual all-around,Broze
2008_Sum,56,Jessicah Schipper,Australia,Swimming,4 x 100m medley relay,Gold
2008_Sum,56,Jessicah Schipper,Australia,Swimming,100m butterfly,Broze
2008_Sum,56,Jessicah Schipper,Australia,Swimming,200m butterfly,Broze
2008_Sum,57,Cheng Fei,China,Gymnastics,Team all-around,Gold
2008_Sum,57,Cheng Fei,China,Gymnastics,Balance beam,Broze
2008_Sum,57,Cheng Fei,China,Gymnastics,Vault,Broze
2008_Sum,58,David Neville,United States,Athletics,4 x 400 m relay,Gold
2008_Sum,58,David Neville,United States,Athletics,400 metres,Broze
2008_Sum,59,Cesar Cielo Filho,Brazil,Swimming,50m freestyle,Gold
2008_Sum,59,Cesar Cielo Filho,Brazil,Swimming,100m freestyle,Broze
2008_Sum,60,Beezie Madden,United States,Equestrian,Jumping team,Gold
2008_Sum,60,Beezie Madden,United States,Equestrian,Jumping individual,Broze
2008_Sum,61,Heike Kemmer,Germany,Equestrian,Dressage team,Gold
2008_Sum,61,Heike Kemmer,Germany,Equestrian,Dressage individual,Broze
2008_Sum,62,Guo Yue,China,Table Tennis,Teams,Gold
2008_Sum,62,Guo Yue,China,Table Tennis,Singles,Broze
2008_Sum,63,Katrin Wagner-Augustin,Germany,Canoeing,K-4 500 metres,Gold
2008_Sum,63,Katrin Wagner-Augustin,Germany,Canoeing,K-1 500 metres,Broze
2008_Sum,64,Ken Wallace,Australia,Canoeing,K-1 500 metres,Gold
2008_Sum,64,Ken Wallace,Australia,Canoeing,K-1 1000 metres,Broze
2008_Sum,65,Minxia Wu,China,Diving,Synchronized 3 metre springboard,Gold
2008_Sum,65,Minxia Wu,China,Diving,3 metre springboard,Broze
2008_Sum,66,Matteo Tagliariol,Italy,Fencing,Épée,Gold
2008_Sum,66,Matteo Tagliariol,Italy,Fencing,Épée team,Broze
2008_Sum,67,Mariel Zagunis,United States,Fencing,Sabre,Gold
2008_Sum,67,Mariel Zagunis,United States,Fencing,Sabre team,Broze
2008_Sum,68,Qin Kai,China,Diving,Synchronized 3 metre springboard,Gold
2008_Sum,68,Qin Kai,China,Diving,3 metre springboard,Broze
2008_Sum,69,Sanya Richards,United States,Athletics,4 x 400 m relay,Gold
2008_Sum,69,Sanya Richards,United States,Athletics,400 metres,Broze
2008_Sum,70,Sandra Izbasa,Romania,Gymnastics,Floor,Gold
2008_Sum,70,Sandra Izbasa,Romania,Gymnastics,Team all-around,Broze
2008_Sum,71,Valentina Vezzali,Italy,Fencing,Foil,Gold
2008_Sum,71,Valentina Vezzali,Italy,Fencing,Foil team,Broze
2008_Sum,72,Yun Ok-Hee,South Korea,Archery,Team,Gold
2008_Sum,72,Yun Ok-Hee,South Korea,Archery,Individual,Broze
2008_Sum,73,Wang Liqin,China,Table Tennis,Teams,Gold
2008_Sum,73,Wang Liqin,China,Table Tennis,Singles,Broze
2008_Sum,74,Wang Xin,China,Diving,Synchronized 10 metre platform,Gold
2008_Sum,74,Wang Xin,China,Diving,10 metre platform,Broze
2008_Sum,75,Tim Brabants,Great Britain,Canoeing,K-1 1000 metres,Gold
2008_Sum,75,Tim Brabants,Great Britain,Canoeing,K-1 500 metres,Broze
2008_Sum,76,Venus Williams,United States,Tennis,Doubles,Gold
2008_Sum,77,Vasyl Lomachenko,Ukraine,Boxing,Featherweight,Gold
2008_Sum,78,Veronica Campbell-Brown,Jamaica,Athletics,200 metres,Gold
2008_Sum,79,Victoria Pendleton,Great Britain,Cycling,Sprint,Gold
2008_Sum,80,Vincent Hancock,United States,Shooting,Skeet,Gold
2008_Sum,81,Wilfred Bungei,Kenya,Athletics,800 metres,Gold
2008_Sum,82,Wu Jingyu,China,Taekwondo,- 49 kg,Gold
2008_Sum,83,Xian Dongmei,China,Judo,48-52 kg,Gold
2008_Sum,84,Xiangxiang Zhang,China,Weightlifting,62 kg,Gold
2008_Sum,85,Wang Jiao,China,Wrestling,63-72 kg freestyle,Gold
2008_Sum,86,Walton Eller,United States,Shooting,Double trap,Gold
2008_Sum,87,Viktor Ruban,Ukraine,Archery,Individual,Gold
2008_Sum,88,Zhang Ning,China,Badminton,Singles,Gold
2008_Sum,89,Zhang Xiaoping,China,Boxing,Light heavyweight,Gold
2008_Sum,90,Zhong Man,China,Fencing,Sabre,Gold
2008_Sum,91,Yin Jiang,China,Sailing,Windsurfer,Gold
2008_Sum,92,Yang Xiuli,China,Judo,70-78 kg,Gold
2008_Sum,93,Zou Shiming,China,Boxing,Light flyweight,Gold
2008_Sum,94,Valeri Borchin,Russia,Athletics,20 km walk,Gold
2008_Sum,95,Valerie Vili,New Zealand,Athletics,Shot put,Gold
2008_Sum,96,Tong Wen,China,Judo,+ 78 kg,Gold
2008_Sum,97,Tom Ashley,New Zealand,Sailing,Windsurfer,Gold
2008_Sum,98,Tomasz Majewski,Poland,Athletics,Shot put,Gold
2008_Sum,99,Tia Hellebaut,Belgium,Athletics,High jump,Gold
2008_Sum,100,Steven Hooker,Australia,Athletics,Pole vault,Gold
2008_Sum,101,Satoshi Ishii,Japan,Judo,+ 100 kg,Gold
2008_Sum,102,Satu Makela-Nummela,Finland,Shooting,Trap,Gold
2008_Sum,103,Saori Yoshida,Japan,Wrestling,48-55 kg freestyle,Gold
2008_Sum,104,Samuel Sanchez,Spain,Cycling,Road race,Gold
2008_Sum,105,Samuel Wanjiru,Kenya,Athletics,Marathon,Gold
2008_Sum,106,Shelly-Ann Fraser,Jamaica,Athletics,100 metres,Gold
2008_Sum,107,Shirvani Muradov,Russia,Wrestling,84-96 kg freestyle,Gold
2008_Sum,108,Somjit Jongjohor,Thailand,Boxing,Flyweight,Gold
2008_Sum,109,Son Tae-Jin,South Korea,Taekwondo,58-68 kg,Gold
2008_Sum,110,Steeve Guenot,France,Wrestling,60-66 kg greco-roman,Gold
2008_Sum,111,Stephanie Brown Trafton,United States,Athletics,Discus throw,Gold
2008_Sum,112,Qiu Jian,China,Shooting,"Small-bore rifle, 3 positions",Gold
2008_Sum,113,Rafael Nadal,Spain,Tennis,Singles,Gold
2008_Sum,114,Rakhim Chakhkiev,Russia,Boxing,Heavyweight,Gold
2008_Sum,115,Ramazan Sahin,Turkey,Wrestling,60-66 kg freestyle,Gold
2008_Sum,116,Rebecca Romero,Great Britain,Cycling,Individual pursuit,Gold
2008_Sum,117,Revaz Mindorashvili,Georgia,Wrestling,74-84 kg freestyle,Gold
2008_Sum,118,Roberto Cammarelle,Italy,Boxing,Super heavyweight,Gold
2008_Sum,119,Rumyana Neykova,Bulgaria,Rowing,Single sculls,Gold
2008_Sum,120,Sa Jae-Hyouk,South Korea,Weightlifting,77 kg,Gold
2008_Sum,121,Sabine Spitz,Germany,Cycling,Mountain bike cross country,Gold
2008_Sum,122,Paul Goodison,Great Britain,Sailing,Laser,Gold
2008_Sum,123,Olaf Tufte,Norway,Rowing,Single sculls,Gold
2008_Sum,124,Ole Bischof,Germany,Judo,73-81 kg,Gold
2008_Sum,125,Pak Hyon Suk,North-Korea,Weightlifting,63 kg,Gold
2008_Sum,126,Pamela Jelimo,Kenya,Athletics,800 metres,Gold
2008_Sum,127,Pang Wei,China,Shooting,Air pistol,Gold
2008_Sum,128,Prapawadee Jaroenrattanatarakoon,Thailand,Weightlifting,53 kg,Gold
2008_Sum,129,Primoz Kozmus,Slovenia,Athletics,Hammer throw,Gold
2008_Sum,130,Natalja Dobrynska,Ukraine,Athletics,Heptathlon,Gold
2008_Sum,131,Nazyr Mankiev,Russia,Wrestling,- 55 kg greco-roman,Gold
2008_Sum,132,Nelson Evora,Portugal,Athletics,Triple jump,Gold
2008_Sum,133,Olga Kaniskina,Russia,Athletics,20 km walk,Gold
2008_Sum,134,Oussama Mellouli,Tunisia,Swimming,1500m freestyle,Gold
2008_Sum,135,Marianne Vos,Netherlands,Cycling,Points race,Gold
2008_Sum,136,Maria Espinoza,Mexico,Taekwondo,+ 67 kg,Gold
2008_Sum,137,Manuchar Kvirkelia,Georgia,Wrestling,66-74 kg greco-roman,Gold
2008_Sum,138,Manuel Felix Diaz,Dominican Republic,Boxing,Light welterweight,Gold
2008_Sum,139,Matthew Mitcham,Australia,Diving,10 metre platform,Gold
2008_Sum,140,Matthias Steiner,Germany,Weightlifting,+ 105 kg,Gold
2008_Sum,141,Maris Strombergs,Latvia,Cycling,BMX,Gold
2008_Sum,142,Masae Ueno,Japan,Judo,63-70 kg,Gold
2008_Sum,143,Masato Uchishiba,Japan,Judo,60-66 kg,Gold
2008_Sum,144,Michal Martikan,Slovakia,Canoeing,C-1 slalom,Gold
2008_Sum,145,Maurren Maggi,Brazil,Athletics,Long jump,Gold
2008_Sum,146,Mavlet Batirov,Russia,Wrestling,55-60 kg freestyle,Gold
2008_Sum,147,Maxim Opalev,Russia,Canoeing,C-1 500 metres,Gold
2008_Sum,148,Mijail Lopez,Cuba,Wrestling,96-120 kg greco-roman,Gold
2008_Sum,149,Melaine Walker,Jamaica,Athletics,400 metre hurdles,Gold
2008_Sum,150,Nicole Cooke,Great Britain,Cycling,Road race,Gold
2008_Sum,151,Nancy Lagat,Kenya,Athletics,1500 metres,Gold
2008_Sum,152,Naidangiin Tuvshinbayar,Mongolia,Judo,90-100 kg,Gold
2008_Sum,153,Julien Absalon,France,Cycling,Mountain bike cross country,Gold
2008_Sum,154,Kaori Icho,Japan,Wrestling,55-63 kg freestyle,Gold
2008_Sum,155,Kristin Armstrong,United States,Cycling,Time trial road,Gold
2008_Sum,156,Klete Keller,United States,Swimming,4 x 200m freestyle relay,Gold
2008_Sum,157,Maarten van der Weijden,Netherlands,Swimming,10 km marathon,Gold
2008_Sum,158,Lu Chunlong,China,Gymnastics,Trampoline individuak,Gold
2008_Sum,159,Lu Yong,China,Weightlifting,85 kg,Gold
2008_Sum,160,Lim Su-Jeong,South Korea,Taekwondo,49-57 kg,Gold
2008_Sum,161,Lin Dan,China,Badminton,Singles,Gold
2008_Sum,162,Liu Chunhong,China,Weightlifting,69 kg,Gold
2008_Sum,163,Liu Zige,China,Swimming,200m butterfly,Gold
2008_Sum,164,Liao Hui,China,Weightlifting,69 kg,Gold
